consumers,data,time
2,10,1.8655121326446533
2,100,6.367985248565674
2,1000,50.17464506626129
2,3000,150.06899243593216
2,5000,248.10695034265518
2,7000,348.01734322309494
2,10000,495.44230419397354
4,10,1.9741262197494507
4,100,6.319527983665466
4,1000,50.75714600086212
4,3000,150.0353102684021
4,5000,249.6077806353569
4,7000,346.60510128736496
4,10000,497.93670576810837
6,10,1.8496277332305908
6,100,6.510276675224304
6,1000,51.39941757917404
6,3000,151.21757125854492
6,5000,249.27962148189545
6,7000,347.4302859902382
6,10000,499.08905601501465
8,10,1.9209834337234497
8,100,6.65542209148407
8,1000,51.76135700941086
8,3000,149.22551530599594
8,5000,250.2597798705101
8,7000,351.5245859026909
8,10000,496.984789788723
10,10,1.902604579925537
10,100,6.391863822937012
10,1000,51.19666826725006
10,3000,150.54819130897522
10,5000,248.98474621772766
10,7000,349.8525712490082
10,10000,496.3332467675209
12,10,2.0318294167518616
12,100,6.590763032436371
12,1000,50.973657846450806
12,3000,149.67272293567657
12,5000,249.53539878129956
12,7000,348.7035202383995
12,10000,500.7048979997635
