consumers,data,time,std dev
2,10,1.8655121326446533,0.08692705907594897
2,100,6.367985248565674,0.30525502540445654
2,1000,50.17464506626129,1.0228998048149276
2,3000,150.06899243593216,0.6778221071833284
2,5000,248.10695034265518,1.289742748519557
2,7000,348.01734322309494,3.2297893619431632
2,10000,495.44230419397354,3.394425253150353
4,10,1.9741262197494507,0.34067844652857504
4,100,6.319527983665466,0.09329257118048866
4,1000,50.75714600086212,1.4324816856074487
4,3000,150.0353102684021,0.9255154453880143
4,5000,249.6077806353569,1.6976368300282019
4,7000,346.60510128736496,1.8052102791439846
4,10000,497.93670576810837,2.11718575713161
6,10,1.8496277332305908,0.07402460753504111
6,100,6.510276675224304,0.44827567306315796
6,1000,51.39941757917404,0.9376021520466916
6,3000,151.21757125854492,0.5137014828862004
6,5000,249.27962148189545,4.087093492806338
6,7000,347.4302859902382,2.3338736369726814
6,10000,499.08905601501465,3.314020356377314
8,10,1.9209834337234497,0.0935854318509034
8,100,6.65542209148407,0.22738552200371123
8,1000,51.76135700941086,0.4739888850204427
8,3000,149.22551530599594,0.9120577464636235
8,5000,250.2597798705101,2.6667395773378324
8,7000,351.5245859026909,1.3055752519915933
8,10000,496.984789788723,3.1414890367785273
10,10,1.902604579925537,0.07808036716917202
10,100,6.391863822937012,0.14362218884572875
10,1000,51.19666826725006,1.2219336135317445
10,3000,150.54819130897522,0.457850290792396
10,5000,248.98474621772766,1.7258322627756437
10,7000,349.8525712490082,1.2292080284424596
10,10000,496.3332467675209,2.1323354731200075
12,10,2.0318294167518616,0.20186547449176157
12,100,6.590763032436371,0.45548926012544155
12,1000,50.973657846450806,0.8692618865518267
12,3000,149.67272293567657,0.23926407203100933
12,5000,249.53539878129956,0.687196856247618
12,7000,348.7035202383995,2.520272686289133
12,10000,500.7048979997635,1.5071890174968494
