First come first serve,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,65,5,2,2,66,0,0,65
102,35,3,7,67,101,60,60,95
103,40,8,34,102,141,68,68,108
104,62,1,62,142,203,80,80,142
105,42,1,74,204,245,130,130,172
106,52,7,93,246,297,153,153,205
107,70,1,102,298,367,196,196,266
108,89,5,160,368,456,208,208,297
109,62,5,193,457,518,264,264,326
110,87,3,218,519,605,301,301,388
111,28,2,237,606,633,369,369,397
112,22,2,271,634,655,363,363,385
113,29,2,276,656,684,380,380,409
114,95,6,306,685,779,379,379,474
115,92,6,332,780,871,448,448,540
116,41,4,352,872,912,520,520,561
117,51,5,401,913,963,512,512,563
118,64,6,444,964,1027,520,520,584
119,21,4,466,1028,1048,562,562,583
120,93,3,473,1049,1141,576,576,669
121,27,2,524,1142,1168,618,618,645
122,10,6,536,1169,1178,633,633,643
123,81,0,598,1179,1259,581,581,662
124,68,8,655,1260,1327,605,605,673
125,30,4,710,1328,1357,618,618,648
126,82,6,756,1358,1439,602,602,684
127,54,2,758,1440,1493,682,682,736
128,13,6,800,1494,1506,694,694,707
129,40,6,851,1507,1546,656,656,696
130,41,9,900,1547,1587,647,647,688
131,39,6,912,1588,1626,676,676,715
132,43,5,980,1627,1669,647,647,690
133,67,3,989,1670,1736,681,681,748
134,51,6,1007,1737,1787,730,730,781
135,92,2,1055,1788,1879,733,733,825
136,63,2,1111,1880,1942,769,769,832
137,5,7,1113,1943,1947,830,830,835
138,69,7,1124,1948,2016,824,824,893
139,58,4,1136,2017,2074,881,881,939
140,55,0,1188,2075,2129,887,887,942
141,8,8,1237,2130,2137,893,893,901
142,37,5,1255,2138,2174,883,883,920
143,9,2,1259,2175,2183,916,916,925
144,38,1,1317,2184,2221,867,867,905
145,93,6,1354,2222,2314,868,868,961
146,81,3,1397,2315,2395,918,918,999
147,3,6,1403,2396,2398,993,993,996
148,8,8,1458,2399,2406,941,941,949
149,96,7,1521,2407,2502,886,886,982
150,61,5,1569,2503,2563,934,934,995
,,,,,,,,
,,,,,Min,0,0,65
,,,,,Mean,583.64,583.64,634.88
,,,,,Max,993,993,999
,,,,,StdDev,275.65,275.65,272.21
